Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,waste management,LinkedIn,2307159184,Chauffeur waste management,1td+zrVfRKCyDQGNP3VhfQ==,PDZ Uitzendbureau,"Amstelveen, North Holland, Netherlands",['Food & Beverages'],"Over de functie, , Als medewerker van het Afvalbrengstation van de Gemeente Amstelveen help je inwoners bij het scheiden van hun afval Je start jouw dag in Amstelveen waar je werkt met een gezellig team van 46 personen Je werkt op een terrein waar het afval van de stad binnen komt Met een wagen zorg jij samen met jouw team dat het afval op de goede plek terecht komt, Het team bestaat totaal uit circa 35 personen die je allemaal zal leren kennen, , Er wordt gewerkt via een rooster op zaterdag en zon en feestdagen Eventueel uit te breiden met soms een dag door de week, Op zaterdag geldt er 175 toeslag en op zondag 200, , Over het bedrijf, , Wat wij vragen, , Je werkt veel samen met een hecht team Initiatief nemen en aanpakken is iets wat jij graag doet en je gaat zorgvuldig tewerk, , Ook is het belangrijk dat je in het bezit bent van een groot rijbewijs C, voldoet aan Code 95 en aantoonbare ervaring hebt als chauffeur, , Verder heb je, of ben je genteresseerd in het behalen van de volgende certificaten, , , , Wat wij bieden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307159184?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F04f3e3e7-3640-4544-8a5a-3d5b55709a9b%3Fjid%3Db673e8c70195ebfa5f8bb3f32fdb5d6cb70b421cc1328bcc4f59771498ffb62f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=ZPdN&refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/chauffeur-waste management-at-pdz-uitzendbureau-2307159184?refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,29/11/2020
2,waste management,LinkedIn,2278835857,Teamleider waste management,wUm+we3ITa6J9XDlhUlfWA==,SRS Personeel BV,"Schiedam, South Holland, Netherlands",['Staffing and Recruiting'],"het operationeel aansturen van uitvoerende medewerkers, zowel eigen medewerkers als ingehuurde medewerkers en het cordineren en bewaken van de werkzaamheden, verantwoordelijk voor alle deeltaken van de afdeling en ook de verantwoording daarvan, , , Vaardigheden, , , , Over de werkgever, , Onze opdrachtgever, werkend voor gemeenten, bedrijven, scholen en overige overheidsorganisaties adviseert, beheert en onderhoudt projecten op het gebied van afvalinzameling en openbare ruimte",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278835857?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Ffd0c73b5-35d4-452b-a6b6-ed007fa03201%3Fjid%3Dbd10636d98ab060754131136a671d165304d1b58a7222ce5d121dc2b85be9dad%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=waiJ&refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teamleider-waste management-at-srs-personeel-2278835857?refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,29/11/2020
3,waste management,LinkedIn,2316391576,"40+/65+ Medewerker waste management (4-5 dagen, in elk geval in het weekend) (ref: NB018)",nPg873haRLCjziNW2HHXbw==,Rvaring,"Amstelveen, North Holland, Netherlands","['Marketing and Advertising', 'Staffing and Recruiting', 'Financial Services']","Ben je behulpzaam en niet bang voor vieze handen Ben je in elk geval beschikbaar in het weekend en vind je het leuk in een klein team te werken, Deze organisatie draagt bij aan een leefbaar milieu en een veilige woon, werk en leefomgeving Dit doen zij door de openbare ruimte en alle daarbij horende voorzieningen schoon, veilig en overzichtelijk te houden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316391576?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2F40-en-65-en-medewerker-waste management-4-5-dagen-in-elk-geval-in-het-weekend-ref-nb018%3A44304344%2F&urlHash=YGPF&refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/40%2B-65%2B-medewerker-waste management-4-5-dagen-in-elk-geval-in-het-weekend-ref-nb018-at-rvaring-2316391576?refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,29/11/2020
4,waste management,LinkedIn,2321530957,"40+/65+ Medewerker waste management (4-5 dagen, in elk geval in het weekend) ( NB018 )",0ziLEpGpStupZJUlAG2+XQ==,Rvaring uitzendbureau is het uitzendbureau voor de 40plusser,"Amstelveen, North Holland, Netherlands",['Construction'],"Ben je behulpzaam en niet bang voor vieze handen Ben je in elk geval beschikbaar in het weekend en vind je het leuk in een klein team te werken, , Als medewerker van het afvalbrengstation help je inwoners bij het scheiden van hun afval, in een team van 46 personen Werkdagen zijn in elk geval op zaterdag en zondag overige dagen in onderling overleg vast te stellen Het is fysiek niet heel zwaar  je staat en loopt echter wel de hele dag, , decemberdecember, , , , We zoeken iemand die bij voorkeur, , , , Verder ben je, , , , Werktijden, , , , Graag ontvangen wij je CV voorzien van motivatie en pasfoto, , Wanneer wij geen match zien tussen je CV en onze vacature, kan het zijn dat wij geen contact met je opnemen, , Over de werkgever, , Deze organisatie draagt bij aan een leefbaar milieu en een veilige woon, werk en leefomgeving Dit doen zij door de openbare ruimte en alle daarbij horende voorzieningen schoon, veilig en overzichtelijk te houden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321530957?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fd6ac8a62-94ff-422b-a2ec-ed027f524868%3Fjid%3D79c0e7aed0f8fa14c3dc6cf44d8f43ebde5db2498c7c795adccac4ee5ade0dd7%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=f29X&refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/40%2B-65%2B-medewerker-waste management-4-5-dagen-in-elk-geval-in-het-weekend-nb018-at-rvaring-uitzendbureau-40%2B-en-65%2B-2321530957?refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,29/11/2020
5,waste management,LinkedIn,2322278635,waste management schoonmaak logistiek,2PfUAGbKTqChfME7y1IB4g==,Olympia,"Meppel, Drenthe, Netherlands","['Food & Beverages', 'Staffing and Recruiting', 'Retail']","Terug naar zoekresultaten, Solliciteer direct, , Wat ga je doen, Je bent werkzaam op het terrein van een bekend bedrijf in Meppel en je regelt alle afvalstromen, zodat het terrein schoon en werkbaar blijft voor de werknemers van dit bedrijf, en dit doe jij als een echte klantvriendelijke concirge, , Het werk bestaat voornamelijk uit het ophalen en afvoeren van gescheiden afval zoals papier, plastic en pallets en het legen van containers Je gaat hier voor lopend de fabriek in, of soms met een treintje, of met de vorkheftruck Voornamelijk fysiek werk, Je zet bijvoorbeeld pallets klaar of op een andere plaats met een heftruck en zo los je trailers met een heftruck Het lossen van trailers gebeurd 7 keer per week en dit is op het buitenterrein Je verzorgt je het rioolbeheer, bijvoorbeeld het ontstoppen van een wc en houdt een administratie bij, een soort planning van wat je hebt gedaan Je kunt deze administratieve werkzaamheden leren en je hebt niet perse ervaring voor nodig, , Je gaat werken bij een full service afvalmanagement bedrijf Sinds jaar en dag zijn ze actief in de gehele keten van preventie, inzameling, recycling en energetische verwerking van veel verschillende afvalstromen, , Jij bent iemand die alles graag geregeld en netjes op orde houdt op een binnen en buitenterrein En je bent op zoek naar een full time 3 ploegendienst baan voor onbepaalde tijd, , , , Zelfstandig werken in een team en je maakt het verschil voor andere werknemers zodat zij een opgeruimde werkplek hebben, Werken in de branche logistiek  schoonmaak, , Een inschaling volgens de cao Beroepsgoederenvervoer TLN met een ADV regeling,  11,40 bruto per uur 21 jaar en ouder, Een ploegentoeslag van 13,75 over alle gewerkte uren, Een reiskostenvergoeding tot maximaal 8,08 per dag, Scholings mogelijkheden via Olympia, , Solliciteer direct, , , Op zoek naar passend uitzendwerk of liever een vaste baan Bij Olympia Meppel helpen we jou met werk van betekenis Wat jij doet, doet ertoe Reageer op n van onze vacatures, schrijf je in of neem contact met ons op Ben je werkgever en zoek je een uitzendbureau of werving en selectiebureau in Meppel en omgeving Wij kennen de ideale uitzendkracht of vaste nieuwe collega voor jouw bedrijf, , Meppel, Prinsengracht 21, 7941 KD Meppel, Alle vacatures van deze vestiging",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322278635?url=https%3A%2F%2Fwww%2Eolympia%2Enl%2FVacatures%2F2107027%2Fwaste management-schoonmaak-logistiek%2F&urlHash=Tggv&refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/waste management-schoonmaak-logistiek-at-olympia-2322278635?refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,29/11/2020
6,waste management,LinkedIn,2312919569,Senior Decentrale bevoorrading - Amsterdam,W/d6slJ4RQanm5Bn5/O/QQ==,Amsterdam UMC,"Amsterdam, North Holland, Netherlands","['Research', 'Biotechnology', 'Hospital & Health Care']","Wat ga je doen, , Een goede bevoorrading van de verschillende verpleegafdelingen, polis en laboratoria is essentieel Het team Decentrale bevoorrading zorgt ervoor dat het enorme assortiment medische disposables zoals bijvoorbeeld infuuslijnen, verbandmiddelen en implantaten, linnen, gascilinders en kleding binnen het ziekenhuis op de juiste afdelingen, de juiste plekken en in de juiste hoeveelheden aanwezig zijn, Als Senior Decentrale bevoorrading cordineer je samen met je collega Seniors de dagelijkse werkzaamheden van het team en je bewaakt de voortgang van de werkzaamheden Je bent voor de medewerkers het aanspreekpunt voor de dagelijkse uitvoering van de werkzaamheden en voor de verpleging het aanspreekpunt voor de dienstverlening Als er iets moet gebeuren dat afwijkt van de dagelijkse routine regel je dat en gaat er iets mis, dan zorg je dat het wordt opgelost Voor een goed verloop van de levering van linnen en medische gassen onderhoud je dagelijks contact met de leveranciers Je hebt daarnaast nauw contact met de afdeling Supply chain om er samen voor te zorgen dat de inrichting van de bevoorrading van afdelingen zo optimaal mogelijk is en blijft Als het nodig is spring je bij in de uitvoering van de dagelijkse werkzaamheden, Je levert een bijdrage aan de jaar en beoordelingsgesprekken Je signaleert structurele knelpunten in de uitvoering van de werkzaamheden en in samenspraak met je directe collegas en je leidinggevende, de procesleider Decentrale bevoorrading, werk je aan oplossingen, , , , Je bent een startende HBO er logistiek of bedrijfskunde of je hebt een relevante afgeronde opleiding op MBO4 niveau plus een aantal jaren ervaring op het gebied van logistiek in een zorginstelling enof ziekenhuis in een cordinerende rol Je hebt aantoonbaar kennis van logistiek, , Je bent in staat om goede werkrelaties te onderhouden met andere afdelingen en je bent proactief in denken en doen Je beheerst de basisvaardigheden van het werken met een pc mail, internet, Excel en Word Kennis van Lean en SAP CareCTRL is een pr Je bent verder makkelijk benaderbaar voor je medewerkers en dienstverlenend ingesteld Je bent gericht op samenwerken en in staat om medewerkers en collegas te motiveren voor een goede uitvoering van de werkzaamheden Tot slot ben je in staat om knelpunten snel om te zetten in verbeteracties, Gezien het feit dat je veel contacten hebt is het belangrijk dat je de Nederlandse taal zowel mondeling als schriftelijk goed beheerst, , , , Het directoraat Services DS zorgt ervoor dat zowel gasten als personeel zich welkom weten in Amsterdam UMC, locatie AMC door het aanbieden van servicegerichte activiteiten Kerntaken zijn logistiek, eten en drinken, schoonmaak, publieksservice en beveiliging, De afdeling Logistiek en Supply chain maakt onderdeel uit van het directoraat Services en verzorgt een aantal operationele logistieke processen zoals goederenontvangst, distributie, magazijnen, waste management, decentrale bevoorrading en transport van patinten en medische hulpmiddelen Naast de operationele taken beheert Logistiek en Supply chain de hiermee samenhangende contracten en budgetten Onderdeel van Logistiek en Supply chain is ook een team supply chain planners dat zich inzet om structurele verbeteringen door te voeren op het gebied van belevering en voorraadbeheer, De afdeling Decentrale bevoorrading is volop in ontwikkeling, steeds meer afdelingen gaan gebruik maken van de dienstverlening die het team Decentrale bevoorrading te bieden heeft, waardoor het team snel groeit Aankomend jaar gaan we kijken naar hoe we het team klaar kunnen maken voor deze groei, waarin jij een grote rol speelt Een baan met toekomstperspectief dus, , , , Wij bieden je ruime gelegenheid tot ontplooiing, verdieping en verbreding, extra scholing en een plek om te groeien Werken bij Amsterdam UMC betekent werken in een inspirerende en professionele omgeving waar ontwikkeling, in alle opzichten, wordt gestimuleerd, , , , Kijk voor een overzicht van al onze andere arbeidsvoorwaarden op , , , , Wil je direct solliciteren Gebruik dan de knop solliciteren op deze pagina, Wil je eerst meer informatie Neem dan gerust contact op met Mike Knoppert Procesleider Decentrale bevoorrading, via, , Wij zien uit naar onze kennismaking",Contract,https://www.linkedin.com/jobs/view/externalApply/2312919569?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D9e9d9d4881bf%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cadbcdd7badc8dd7badcaddcgdd8add8fddf3aeecacafec3ddcg3e&urlHash=cKpp&refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-decentrale-bevoorrading-amsterdam-at-amsterdam-umc-2312919569?refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,29/11/2020
7,waste management,LinkedIn,2315229309,Vrachtwagenchauffeur C | Utrecht | Start People Amsterdam,Xnf6JSQGSe2WTBKPiHyyNQ==,Werkzoekennl,"Utrecht, Utrecht, Netherlands","['Sports', 'Health, Wellness and Fitness']","Vacature van Start People Amsterdam, locatie Utrecht, , Steek jij als vrachtwagenchauffeur C graag de handen uit de mouwen en vind jij het leuk om in de buitenlucht te werken Wij zijn op zoek naar een enthousiaste chauffeur in de regio Utrecht die met zijn talent ons team wilt versterken, , In deze functie ga je afval ophalen met een moderne kraakperswagen Voordelen van werken op de afdeling waste management zijn oa dat de werktijden regelmatig zijn en het werk afwisselend is Je rijdt verschillende routes en komt bij uiteenlopende klanten Zo kom je bij fabrieken, bouwlocaties, overheidsinstellingen maar ook in woonwijken of de binnenstad Elke keer weer een andere uitdaging, , Bij SUEZ werk je in een gezellig team met twee beladers Als het even kan krijgen onze vrachtwagenchauffeurs een vaste wagen Jouw werkdagen zijn van maandag tm vrijdag, en incidenteel ook op zaterdag Bij goed functioneren is er kans op een vast contract Wil jij graag een bijdrage leveren aan het schoon houden van het milieu Wij zien jouw sollicitatie op de functie Vrachtwagenchauffeur C graag tegemoet, , , , , 5cd8a0b9cc68f9ffa4c9253553278a55",Temporary,https://www.linkedin.com/jobs/view/externalApply/2315229309?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F7428_start-people%2Fvacatures%2F4963612_vrachtwagenchauffeur-c%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dtransport%2Butrecht&urlHash=IqZl&refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vrachtwagenchauffeur-c-utrecht-start-people-amsterdam-at-werkzoeken-nl-2315229309?refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,29/11/2020
8,waste management,LinkedIn,2325408014,Jurist Circulaire Economie en Afval,gg11Gh5cS7+HIfv2qdiwyQ==,Ministerie van Economische Zaken en Klimaat,"Utrecht, Utrecht, Netherlands",None,"Functiexadomschrijving, , Circulaire economie staat op de politieke agenda hoog genoteerd en biedt veel kansen en uitdagingen voor de samenleving Rijkswaterstaat werkt met het ministerie van Infrastructuur en Waterstaat en marktpartijen aan de ontwikkeling en implementatie hiervan Word jij onze nieuwe jurist Standplaats is Utrecht, , Als jurist circulaire economie en afval help jij ons met het ontwikkelen en uitvoeren van het juridische instrumentarium voor deze belangrijke ontwikkeling in de maatschappij, Een belangrijk instrument om de transitie naar een Circulaire Economie te ondersteunen is Uitgebreide ProducentenVerantwoordelijkheid UPV en dat vormt ook het zwaartepunt van jouw takenpakket Bij deze ontwikkelingen verwachten we een sturende juridische inbreng Je bent primair verantwoordelijk voor het bewaken van de juridische kwaliteit van besluiten die bij de uitvoering van dat instrument horen Dit betreft zowel Algemeen Verbindend Verklaringen AVV als besluiten op verzoeken tot ontheffing Je werkt hierbij samen met meer technisch inhoudelijke collegas, stemt af met andere juristen binnen Rijkswaterstaat en hebt direct contact met betrokken medewerkers bij het Ministerie Je bent vanuit jouw afdeling tevens eerste aanspreekpunt voor de zaken waarin bezwaar of beroep wordt ingesteld tegen een genomen besluit Naast taken rond AVV draag je als onderdeel van een team ook mee aan ook bij aan het ontwikkelen van het instrument UPV als geheel en het adviseren van het ministerie, , Meer in de breedte ben je tevens beschibaar voor juridisch advies voor allerhande vragen over afvalbeleid en afvalgelateerde regelgeving  bijvoorbeeld vragen die binnen komen bij de helpdesk waste management Ook ondersteun je het Ministerie bij het formuleren van afvalgerelateerde regelgeving en je draagt bij aan het overzetten van afvalgerelateerde wet en regelgeving naar de Omgevingswet Je werkt mee aan de implementatie van het Landelijk Afval Beheerplan, , Je opereert vanuit een zelfstandige rol Je kent de ontwikkelingen en belangen binnen en buiten onze organisatie en weet ze met elkaar te verbinden Je onderhoudt contacten met stakeholders in de markt, en je hebt een opdrachtgevende rol naar externe adviseurs Je bent in staat om departementaal beleid, innovaties enof onderzoeksresultaten te vertalen naar passende adviezen voor de praktijk, , In verband met de ontwikkelingen rondom het corona virus heeft Rijkswaterstaat een aangepaste selectieprocedure De meest actuele informatie vind je via deze link, , , , , , , , Tot de secundaire arbeidsvoorwaarden behoren onder meer maximaal 60 betaald ouderschapsverlof onder voorwaarden, studiefaciliteiten, een extra verlofregeling voor ouderen en een vergoeding woonwerkverkeer Bij de Rijksoverheid heb je een aantal individuele keuzemogelijkheden bij het samenstellen van je arbeidsvoorwaardenpakket Daarvoor kun je bovenop het salaris rekenen op een individueel keuzebudget van 16,37 van je salaris Tot slot hecht de Rijksoverheid sterk aan persoonlijke groei en loopbaanontwikkeling en biedt daarvoor ook tal van mogelijkheden, , , , , Acquisitie op onze vacatures wordt niet in behandeling genomen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325408014?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D2924c6fa86cf%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecdd7cddebddc8addbddaaadagadfadd8fdda3aedcacafec3ddcg3e&urlHash=8eYj&refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/jurist-circulaire-economie-en-afval-at-ministerie-van-economische-zaken-en-klimaat-2325408014?refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,29/11/2020
9,waste management,LinkedIn,2300860632,Industrieel schoonmaker,5XHX5YieScC2frRw9IudJQ==,Olympia,"Zwolle, Overijssel, Netherlands","['Food & Beverages', 'Staffing and Recruiting', 'Retail']","Terug naar zoekresultaten, Solliciteer direct, , Wat ga je doen, Wil jij veel in beweging zijn tijdens je werk Ben jij een echte teamplayer maar kan je ook zelfstandig werken Dan ben jij de industrieel schoonmaker die wij zoeken bij Scania Dagelijks bestaat jouw dag uit het schoonmaken van de werkvloeren met de schrobmachines,, Als industrieel schoonmaker ben jij samen met je collegas verantwoordelijk voor het schoonhouden en netjes maken van de werkvloer bij Scania Bij lekkages ben jij als eerste aanwezig en zorg je dat de veiligheid van jouw en je collegas is gewaarborgd Naast de afdeling schoonmaak kan je in worden gezet op de afdeling waste management, dit maakt je werk leuk en afwisselend, geen dag is hetzelfde, , Je gaat werken bij SUEZ een organisatie dat internationaal gespecialiseerd is in het verwerken en recyclen van afval Zij zijn in Zwolle en Hasselt gevestigd op de locatie van Scania Op de afdeling werk je met een team van ongeveer 3 collegas per dienst, een echt klein, hecht team Om deze reden is het erg belangrijk dat je goed met elkaar overweg kan en zowel zelfstandig als samen te werk kan gaan, , Als industrieel schoonmaker ben jij, , , Binnen deze functie verdien je een salaris vanaf  12,53 bruto inclusief toeslagen, exclusief je vakantiegeld en vakantiedagen Bij goed functioneren is het mogelijk om door te groeien en om een contract voor onbepaalde tijd te krijgen Reiskostenvergoeding is mogelijk vanaf 10 km enkele reis tot wel  8,08 netto per dag Na 26 gewerkte weken ga jij ook je hardverdiende pensioen bij ons opbouwen, deze wordt automatisch voor je ingezet, , Solliciteer direct, , , Op zoek naar passend uitzendwerk of liever een vaste baan Bij Olympia Zwolle helpen we jou met werk van betekenis Wat jij doet, doet ertoe Reageer op n van onze vacatures, schrijf je in of neem contact met ons op Ben je werkgever en zoek je een uitzendbureau of werving en selectiebureau in Zwolle en omgeving Wij kennen de ideale uitzendkracht of vaste nieuwe collega voor jouw bedrijf, , Zwolle, Paxtonstraat 3W, 8013 RP Zwolle, Alle vacatures van deze vestiging",Full-time,https://www.linkedin.com/jobs/view/externalApply/2300860632?url=https%3A%2F%2Fwww%2Eolympia%2Enl%2FVacatures%2F2103794%2Findustrieel-schoonmaker%2F&urlHash=9RHn&refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/industrieel-schoonmaker-at-olympia-2300860632?refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,29/11/2020
10,waste management,LinkedIn,2287295190,Vrachtwagenchauffeur kraakperswagen Renewi,r3E4XoQbRnO1x1RxIEVISQ==,"Relationship Marketing, Inc RMi","Amsterdam, North Holland, Netherlands",['Financial Services'],"Bedrijfsomschrijving, , Renewi streeft ernaar een toonaangevend afvalproductiebedrijf te worden door een duurzame samenleving te promoten voor onze belangrijkste belanghebbenden klanten, werknemers, lokale gemeenschappen en aandeelhouders Wat betekent afvalproductie Bij Renewi richten ze zich op het halen van waarde uit afval, in plaats van het verbranden of dumpen van afval Van de 14 miljoen ton afval die ze jaarlijks verwerken, wordt 89 gerecycled of gebruikt voor energieterugwinning Ze hopen hierop voort te bouwen Ze zijn van mening dat hun unieke wastetoproductbenadering consistent is met maatschappelijke en regelgevende ontwikkelingen Deze methode biedt ook de meest kosteneffectieve oplossing voor effectief recycling en waste management, , , , Bent u op zoek naar een baan op een vrachtwagen op een normale tijd zodat u op tijd naar huis kunt voor het avondeten, wanneer er maar n weekend in het weekend is Dan zijn we op zoek naar jouw chauffeur C in Renewi U en uw team krijgen een manier toegewezen om bedrijfsafval of persoonlijk afval in te zamelen Aan het einde van de route rijd je met een volgeladen auto terug naar de oorspronkelijke locatie om het afval op de stortplaats te lossen Dit is het begin van de rest van het proces om ervoor te zorgen dat alle afvalproducten een nieuw leven krijgen Dit betekent dat de chauffeur er elke dag op moet letten dat de omgeving schoon blijft, , Bij Renewi werk je altijd met een kraakwagen Dit betekent dat u elke dag met een of twee andere chauffeurs  laders moet werken De chauffeurs die bij Renewi werken omschrijven de werksfeer als een familiebedrijfssfeer en het werk is zeer professioneel Heb je jezelf zien werken in een team in een modern bedrijf dat kan bijdragen aan het schoonhouden van het milieu Dus de taak van vrachtwagenchauffeur bij Renewi is echt iets voor jou",Full-time,https://www.linkedin.com/jobs/view/externalApply/2287295190?url=https%3A%2F%2Feasyapply%2Ejobs%2Fr%2Fg6V9wXg1TI88lg1kovt8&urlHash=q6jP&refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vrachtwagenchauffeur-kraakperswagen-renewi-at-relationship-marketing-inc-rmi-2287295190?refId=ddab3c0a-ca6e-4d35-add0-1c7dc0b5a095&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,10/11/2020,29/11/2020
